x, y
1990.00999, 0.55505
1990.11931, 0.45475
1990.26699, 0.37545
1990.41704, 0.31945
1990.43652, 2.26811
1990.5101, 1.69193
1990.59262, 1.28874
1990.67873, 0.99657
1990.7882, 0.75428
1990.92817, 0.58207
1991.08291, 0.44023
1991.19256, 0.37457
1991.29045, 0.33149
1991.31192, 2.12509
1991.39527, 1.57865
1991.47475, 1.18496
1991.57692, 0.91364
1991.68738, 0.74116
1991.8135, 0.6006
1991.96245, 0.47456
1992.11175, 0.38577
1992.30934, 0.30768
1992.35009, 0.3888
1992.35648, 1.74412
1992.41173, 1.47035
1992.45772, 1.30349
1992.49728, 1.2269
1992.51099, 1.41458
1992.53579, 1.77934
1992.61207, 1.41263
1992.66708, 1.21996
1992.7916, 1.0094
1992.92166, 0.73811
1993.03988, 0.59334
1993.13738, 0.50663
1993.13632, 3.32183
1993.17344, 2.84149
1993.19678, 2.55681
1993.21356, 2.34681
1993.2528, 2.06843
1993.26425, 2.8397
1993.27618, 2.88876
1993.31149, 2.49717
1993.36601, 2.09092
1993.40178, 1.7641
1993.4581, 1.45537
1993.54181, 1.20937
1993.63213, 0.92686
1993.73829, 0.74512
1993.88096, 0.59166
1993.98377, 0.49827
1994.06877, 0.4523
1994.07235, 1.00779
1994.08344, 2.03348
1994.11857, 1.75484
1994.13104, 5.43101
1994.17199, 4.63156
1994.18404, 3.92908
1994.20801, 3.4529
1994.24347, 3.12747
1994.26295, 3.43734
1994.29672, 2.85854
1994.34593, 2.36798
1994.42068, 2.01911
1994.51904, 1.72424
1994.59276, 1.48543
1994.69362, 1.18266
1994.78749, 0.93414
1994.86776, 0.77853
1994.94521, 0.67336
1994.9922, 0.61075